"windows_linear";pycaw_exp;index
"0";"-96";"0"
"10";"-34.75468063354492";"1"
"20";"-24.35443115234375";"2"
"30";"-18.236774444580078";"3"
"40";"-13.886737823486328";"4"
"50";"-10.508596420288086";"5"
"60";"-7.746397495269775";"6"
"70";"-5.409796714782715";"7"
"80";"-3.384982109069824";"8"
"90";"-1.5984597206115723";"9"
"100";"0";"10"
